"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"ACCP","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ACCESS PHARMS INC","N","N","USA","Access Pharmaceuticals, Inc."
"ACCR","Grey Market","12/11/2013","Grey Market","N","Common Stock","","ACCESS POWER INC","N","N","USA","Access Power, Inc."
"ACCS","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AFRICAN COPPER CORP","N","N","South Africa","African Copper Corp."
"ACDP","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMER COMMUNITY DEV INC","N","N","USA","American Community Development, Inc."
"ACDSF","OTC Link","12/11/2013","OTC Pink Current","N","Fund","","ASCENDAS RL EST INVT TR","N","N","Singapore","Ascendas Real Estate Investment Trust"
"ACDU","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ACCREDITED BUS CONSOLDTRS","N","N","Nicaragua","Accredited Business Consolidators Corp."
"ACEEU","Grey Market","12/11/2013","Grey Market","N","Units","","ACE ETHANOL LLC UNIT","N","N","","Ace Ethanol LLC"
"ACEHF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACE HARDWARE INDONESIA","N","N","","Ace Hardware Indonesia Tbk"
"ACEIF","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","ACER INC S/GDR REG S","N","N","Taiwan","Acer Inc."
"ACEIY","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","ACER INC S/GDR 144A","N","N","Taiwan","Acer Inc."
"ACERF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","AM GOLD INC","N","N","Canada","AM Gold Inc."
"ACFL","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMC FINANCIAL HLDGS INC","N","N","USA","AMC Financial Holdings, Inc."
"ACGBF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AGRICULTURAL BANK OF CHIN","N","N","China","Agricultural Bank of China"
"ACGBY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","AGRICULTURAL B/C UNSP/ADR","N","N","China","Agricultural Bank of China"
"ACGFF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACCORDIA GOLF CO LTD ORD","N","N","Japan","Accordia Golf Co., Ltd."
"ACGFY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ACCORDIA GOLF CO LTD ADR","N","N","Japan","Accordia Golf Co., Ltd."
"ACGI","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMACORE GROUP INC A","N","N","USA","Amacore Group, Inc. (The)"
"ACGJ","OTC Link","12/11/2013","OTC Pink No Information","Y","Common Stock","","ACI GLOBAL CORP","N","N","USA","ACI Global Corp."
"ACGPF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACCELL GROUP NV ORD","N","N","","Accell Group NV"
"ACGX","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","ALLIANCE CREATIVE GRP INC","N","N","USA","Alliance Creative Group, Inc."
"ACGYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","SUBSEA 7 SA ORD","N","N","United Kingdom","Subsea 7 S.A."
"ACIE","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","ACIES CORP","N","N","USA","Acies Corp."
"ACIOY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","ACINO HOLDING AG UNSP/ADR","N","N","","Acino Holding AG"
"ACJJF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACOM CO LTD JPY","N","N","Japan","Acom Co. Ltd."
"ACKAY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ARCELIK A S UNSP/ADR","N","N","Turkey","Arcelik  A.S."
"ACKBF","OTC Link","12/11/2013","OTCQX International","N","Ordinary Shares","","CLARK(ANTHONY)INTL INS BR","N","N","Canada","Anthony Clark International Insurance Brokers Ltd."
"ACKDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AUCKLAND INTL LTD ORD","N","N","New Zealand","Auckland International Airport Ltd."
"ACKDY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","AUCKLAND INT ARPRT U/ADR","N","N","New Zealand","Auckland International Airport Ltd."
"ACKRF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","AMERICAN CREEK RES LTD","N","N","Canada","American Creek Resources, Ltd."
"ACLD","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ACQUIRE LTD","N","N","","Acquire Ltd."
"ACLH","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","ACT CLEAN TECHS INC","N","N","USA","Act Clean Technologies, Inc."
"ACLLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","I","ATCO LTD 1 NV CDA","N","N","Canada","Atco Ltd."
"ACLP","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ACCELPATH INC","N","N","USA","AccelPath, Inc."
"ACLTF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ATCO LTD","N","N","Canada","Atco Ltd."
"ACLZ","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","ACCELERIZE NEW MEDIA INC","N","N","USA","Accelerize New Media, Inc."
"ACMA","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ACM CORPORATION","N","N","USA","ACM Corporation"
"ACMC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER CHURCH MTGE CO","N","N","USA","American Church Mortgage Co."
"ACMDY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ATLAS CONS MNG&DEV AT ADR","N","N","Philippines","Atlas Consolidated Mining & Development Corp."
"ACME","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ACME COMMUNS INC","N","N","USA","ACME Communications, Inc."
